term,module,definition
Activation Function,Module 12 - Basic Artificial Neural Net (ANN).docx,"Applying an activation function (sigmoid in this case) to introduce non-linearity and produce the activations of the neurons in each layer. In your neural network code, you used the sigmoid function as the activation function for the neurons."
Activation Function (φ),Module 12 - Gradient Descent and Backpropagation.docx,"This is a mathematical function that introduces non-linearity into the neuron's output. It determines whether the neuron should ""fire"" (activate) based on the weighted sum and bias. Common activation functions include sigmoid, ReLU, and tanh."
Activation of Previous Layer,Module 12 - Basic Artificial Neural Net (ANN).docx,a_j^{l-1} is the activation of the j-th neuron in the previous layer (l-1). This term represents the input to the weight θ_j.
Activation within the model,Module 12 - Gradient Descent and Backpropagation.docx,"The activation functions (tanh in the RNN layers) are already applied within the model during the forward pass. When you call model(input_tensor, hidden1, hidden2), the input goes through the RNN layers and the linear layer, where the activations are applied."
Active Community,Module 12 - Gradient Descent and Backpropagation.docx,"A large and active community of users and developers contribute to PyTorch's growth, providing support, resources, and a wealth of online tutorials and examples."
Adaptability,Module 12 - Gradient Descent and Backpropagation.docx,"It adapts the learning rate for each parameter, making it suitable for problems with sparse data or parameters with varying scales."
Adaptive Learning Rates,Module 12 - Gradient Descent and Backpropagation.docx,"Adam also calculates an exponentially decaying average of past squared gradients. This is used to scale the learning rate for each parameter individually. Parameters with large, frequent updates will have their learning rates scaled down, while parameters with small, infrequent updates will have their learning rates scaled up."
Adaptive learning rates,Module 12 - Basic Artificial Neural Net (ANN).docx,Algorithms like Adam or RMSprop automatically adjust the learning rate during training based on the observed gradients.
Additive Models,Module 13 - Statsmodels Time Series Complete.docx,Used when trend is linear and/or seasonal variations are constant.
Adj R-Squared,Module 08 - Coefficients and Metrics.docx,R-squared adjustment based on number of parameters and df residuals
Adjust the RNN Input,Module 12 - Gradient Descent and Backpropagation.docx,The RNN would need to be adapted to handle sequences of words as input instead of single words.
Adjusted Closing Price,Module 13 - Pandas Time Series Complete.docx,"The closing price of a stock or asset on a particular trading day, but adjusted for any corporate actions like stock splits or dividends. This provides a more accurate representation of the asset's value over time."
Adjusted R-squared,"Module 08 - R-Squared, R, r, TSS, ESS, and RSS.docx",A modified version of R-squared that adjusts for the number of predictors in the model. It penalizes the addition of unnecessary variables that don't improve the model significantly.
Adjusting Work,Module 12 - Basic Artificial Neural Net (ANN).docx,"Based on this analysis, each team adjusts their work to reduce their contribution to the error."
Adolph Quetelet (1796-1874),Module 04 - Hypothesis Testing.docx,"Introduced the concept of the ""Average Man"" and applied statistical methods to social sciences."
Alternative Hypothesis,Module 04 - Hypothesis Testing.docx,"The hypothesis that contradicts the null hypothesis, suggesting a significant difference or effect."
Analogy,Module 12 - Gradient Descent and Backpropagation.docx,"Imagine you have three ingredients for a recipe (inputs): flour, sugar, and eggs. Each ingredient has a specific importance (weight) in the recipe. Flour might have a higher weight because you need more of it, while eggs might have a lower weight. The weighted sum is like combining the ingredients in the right proportions based on their weights. Continuing with the recipe analogy, the output is like the final dish you get after baking the ingredients. The baking process (activation function) transforms the combined ingredients into something new."
Analyze results,Module 09 - Feature Selection.docx,"Aggregate and analyze the collected outputs to estimate desired metrics, calculate probabilities, or make predictions."
Associated with,Module 12 - Basic Artificial Neural Net (ANN).docx,The first hidden layer. The second hidden layer. The output layer.
Assume a null hypothesis,Module 09 - Feature Selection.docx,"Define a null hypothesis about the population parameter (e.g., the population mean is equal to a specific value)."
Assumptions,"Module 08 - R-Squared, R, r, TSS, ESS, and RSS.docx","Linear regression models have certain assumptions that need to be met for the results to be valid. These assumptions include linearity, independence of errors, homoscedasticity, and normality of errors."
Assumptions,Module 08 - Assumptions.docx,"Linear Regression Assumptions There is a linear relationship between the dependent variable and the independent variable(s). The residuals are normally distributed. The variance of the residuals is constant over all values of the independent variable(s) (homoscedasticity). The residuals are independent. These assumptions are important because they ensure that the results of the regression analysis are valid. If the assumptions are not met, the results of the analysis may be misleading. Logistic Regression Assumptions Assumptions for Binary Logistic Regression It's important to note that logistic regression is more robust to violations of some of these assumptions compared to linear regression. However, checking for and addressing potential violations can improve the accuracy and reliability of your results. Terms General Linear Model A statistical model that assumes a linear relationship between the dependent variable and one or more independent variables. y is the dependent variable. X is the independent variable. β0​ is the intercept. β1​ is the slope. e is the error term or residual. Residuals The differences between the actual and predicted values of the dependent variable in a regression model. Normally Distributed A probability distribution that is symmetric and bell-shaped. Homoscedasticity The variance of the residuals is constant across all levels of the independent variable. Independent The residuals are not correlated with each other. Skewed A distribution that is not symmetric. Linearity A linear relationship between the dependent and independent variables. Multi-Collinearity Independent variables in a regression model are highly correlated with each other. Hypothesis Testing A statistical method used to determine whether there is enough evidence to support a claim about a population parameter. Correlation A statistical measure that describes the strength and direction of the linear relationship between two variables. Python A high-level, interpreted, general-purpose programming language. Pandas A Python library used for data manipulation and analysis. Seaborn A Python library used for data visualization. Scikit-learn (sklearn) A Python library used for machine learning. Train-test Split A technique used to split a dataset into training and testing sets. Quantiles Values that divide a distribution into equal-sized groups. Theoretical Quantiles Quantiles that are calculated from a theoretical distribution. Sample Quantiles Quantiles that are calculated from a sample of data. Effective Rank The number of independent variables in a regression model that are actually contributing to the prediction of the dependent variable. Pairplot A Seaborn function that creates a grid of scatterplots showing the relationship between all pairs of variables in a dataset. "
Assumptions,Module 08 - Assumptions.docx,The assumptions for linear regression are The basic form is y=β0​+β1​X+e where
Astronomy and Statistics,Module 06 - Astronomy and Statistics.docx,"Astronomy and Statistics  Online Interactive Maps  Antiquity were lunisolar, based on moon phase and position of the sun Julius Caesar made reforms (Julian calendar) based on an algorithm of introducing a leap day every four years but added an extra day every 128 years causing seasonal equinoxes to fall at wrong time of year Gregorian (Pope Gregory XIII 1582) is now defacto Astronomical Collections Legendre (1805 - Least Squares) New Methods for the Orbits of Comets (Least Squares) E = a + bx + cy + fz + &c., A, b, c, f, &c known coefficients; the rest are unknown and determined by E (the error) Multiply terms by coefficient of the unknowns and add it all up Cotes Rule Errors decrease with aggregation rather than increase Tobias Mayer and Euler Method of averages - combination of different observations under same equations The inequalities of the motions of Jupiter and Saturn The librations (the moon’s face varies, wobbles) of the Moon Latitude measures angular elevation above horizon Longitude based on Moon features and position with stars Created a table of equations of condition Uses the symbol plus/minus x (margin of error?) Let error be the limit of accuracy for the mean Post 1750 mathematical astronomers averaged simple measurements, combining several days of observations into a single number, as well as doing the same with equations Laplace The Mechanics of the Planets Analytical Theory of Probability Mayer’s 27 equations of conditions of moon crater observations To resolve inconsistencies he reduced the 24 equations by Sum of equations The difference of the sums Linear combinations of equations Probability density for errors - Laplace distribution (two-sided exponential distribution) Roger Boscovich Least Absolute Deviation - the combination of different observations under different conditions Legendre (Least Squares Method) The first clear and concise exposition of the method of least squares was published by Legendre in 1805. The technique is described as an algebraic procedure for fitting linear equations to data and Legendre demonstrates the new method by analyzing the same data as Laplace for the shape of the Earth. Jacob Bernoulli Ars Conjectandi - the formalization of the mathematical theory of probability Law of large numbers - the greater the number of observations the less the uncertainty in the result De Moivre - stated and proved the normal approximation to the Binomial distribution Simpson Development of quantified uncertainty and mathematical theory of inference A new problem was to combine discordant observations, if five observers record five different times for the passage of a star past a crosshair in a telescope, how are these numbers reconciled? Introduces annuity tables (insurance) Wrote a letter on the advantage of taking the mean of a number of observation (astronomical) Distribution of errors accounts for small and large errors Simpson’s Paradox - a trend that appears in multiple groups may disappear when the groups are combined Inverse Probability (Bayesian Inference, inferential statistics), probability distribution of an unobserved variable Fisher - fundamental paradox of inverse probability is the source of confusion between statistical terms  that refer to the true value to be estimated with the actual value arrived at by the estimation method, which is subject to error Choice of Means Laplace (Central Limit Theorem) Gauss The motion of planetoids are disturbed by the larger planets The Gaussian distribution came about from Laplace’s distribution of errors when sampling the mean, Gauss’ observation of measurement error and de Moivre’s attempt to approximate the binomial distribution with largeaN "
Automatic Transfers,Module 12 - Basic Artificial Neural Net (ANN).docx,"PyTorch can automatically transfer tensors between the CPU and GPU as needed, simplifying the process of utilizing GPU resources."
Autonomous Driving,Module 12 - Gradient Descent and Backpropagation.docx,Self-driving cars
Autoregression,Module 13 - Statsmodels Time Series Complete.docx,"The nutshell - Uses observations from previous time steps as input to a regression equation to predict the value at the next time step. Autoregression2 is a time series modeling technique that predicts future values based on past values of the same series. It's like saying, ""knowing what happened in the past can help us understand what might happen in the future."""
Average Man,Module 01 - Introduction.docx,"A concept introduced by Adolphe Quetelet, representing the average characteristics of a population."
Average performance,Module 09 - Feature Selection.docx,The average performance across all folds is used to estimate the model’s overall performance.
Axon,Module 12 - Gradient Descent and Backpropagation.docx,This is a long fiber that transmits the output signal to other neurons.
BIC,Module 08 - Coefficients and Metrics.docx,Bayesian Information Criterion is similar to AIC but uses a higher penalty
BIC (Bayesian Information Criterion),Module 10 - GLM vs OLS.docx,"Similar to AIC, but it places a larger penalty on models with more parameters."
Backpropagation,Module 12 - Gradient Descent and Backpropagation.docx,"Backpropagation is an algorithm specific to artificial neural networks. It involves calculating gradients of the error with respect to the weights and biases and propagating these gradients back through the network. There's no direct equivalent of this process in biological neurons. Biological neurons don't have a ""backward pass"" in the same way. The Learning Engine of Neural Networks"
Backpropagation,Module 12 - Basic Artificial Neural Net (ANN).docx,"During backpropagation, you need to calculate the gradients of the error with respect to the weights and biases. This involves calculating the gradients of the error with respect to the activations of each layer."
Backward Pass,Module 12 - Gradient Descent and Backpropagation.docx,"This is where the magic of backpropagation happens. The error is propagated back through the network, layer by layer, in reverse order."
Backward Pass,Module 12 - Basic Artificial Neural Net (ANN).docx,The optimizer calculates the gradients of the loss with respect to the parameters.
Basic Artificial Neural Net (ANN),Module 12 - Basic Artificial Neural Net (ANN).docx,"Basic Artificial Neural Net (ANN)  Initializing the Weights  In this code, self.weights1, self.weights2, and self.weights3 represent the weight matrices for the connections between different layers of the neural network. These weights play a crucial role in determining the network's behavior and learning process. self.weights1 self.weights2 self.weights3 Why are weights important? In the code, the weights are initialized with random values using np.random.randn. This random initialization is crucial for breaking symmetry and allowing the network to learn effectively.  Initialize the Biases  In this code, self.bias1, self.bias2, and self.bias3 represent the bias vectors for each layer of the neural network. These biases, along with the weights, are essential parameters that the network learns during training. self.bias1 self.bias2 self.bias3 Why are biases important? In the code, the biases are initialized with zeros using np.zeros. While zero initialization is common for biases, other initialization strategies can also be used depending on the specific network architecture and activation functions. Biases are important parameters in neural networks that provide flexibility, enhance representation capabilities, and improve learning efficiency. They act as offsets for the activation functions, allowing neurons to activate even with zero or negative input sums.  The Learning Rate   The learning rate, often denoted as α (alpha), is a crucial hyperparameter in the training of neural networks. It controls how much the model's parameters (weights and biases) are adjusted during each iteration of the optimization algorithm (e.g., gradient descent). How it Works During training, the neural network calculates the gradients of the loss function with respect to the weights and biases. These gradients indicate the direction of the steepest ascent of the loss function. To minimize the loss, we want to move the parameters in the opposite direction (steepest descent). weight = weight - learning_rate * gradient Choosing the Right Learning Rate In the Code In the provided code, the learning_rate is passed as an argument to the NeuralNetwork class and used in the backward method to scale the gradients before updating the weights and biases. This controls how much the parameters are adjusted in each iteration of the training loop. Key Takeaways The learning rate is a crucial hyperparameter that controls the step size in parameter updates during training. Choosing an appropriate learning rate is essential for successful training and convergence. Experimentation and tuning are often required to find the optimal learning rate for a specific problem and network architecture.  Forward Propagation  Forward propagation is the process of passing the input data through the neural network to get the output. It's like a chain reaction, where the output of one layer becomes the input to the next layer. First Hidden Layer Second Hidden Layer Output Layer This process continues until the final output is generated. The output represents the network's prediction based on the input data and the learned parameters (weights and biases).  The Sigmoid Function  The sigmoid function is a mathematical function that has a characteristic ""S""-shaped curve. It's often used as an activation function in neural networks due to its properties that make it well-suited for introducing non-linearity and representing probabilities. Mathematical Definition sigmoid(x) = 1 / (1 + exp(-x)) x is the input to the function. exp(-x) is the exponential of the negative input. Properties How it Works in Neural Networks In neural networks, the sigmoid function is typically used as an activation function. It takes the weighted sum of inputs and biases for a neuron and produces an output between 0 and 1. This output represents the activation level of the neuron. Advantages Limitations Alternatives Due to its limitations, other activation functions like ReLU (Rectified Linear Unit) and tanh (hyperbolic tangent) are often preferred in modern deep learning architectures. In Summary The sigmoid function is a non-linear activation function commonly used in neural networks. It squashes the input to a range between 0 and 1, making it suitable for representing probabilities and introducing non-linearity. However, it has limitations like vanishing gradients and not being zero-centered, which have led to the adoption of alternative activation functions in many cases.  Backward Propagation   Backpropagation is the heart of how neural networks learn. It's the algorithm that calculates how much each weight and bias in the network contributes to the overall error, and then updates those parameters accordingly to improve the network's accuracy. Calculate the Error Propagate the Error Backwards The error is propagated back through the network, layer by layer, in reverse order. This is done by calculating the gradients of the error with respect to the weights and biases of each layer. Calculate Gradients for the Output Layer Calculate Gradients for the Hidden Layers Similar calculations are performed for the first hidden layer. Update Weights and Biases The weights and biases of each layer are updated using the calculated gradients and the learning rate. The learning rate scales the gradients, controlling the size of the updates. Key Ideas in Backpropagation Calculating the error between the predicted output and the target output. Propagating the error back through the network, layer by layer. Calculating the gradients of the error with respect to the weights and biases. Updating the weights and biases using the gradients and the learning rate. This process allows the neural network to learn from the data and improve its accuracy over time.  ""Propagating the error backwards"" is the core idea behind backpropagation. It refers to the process of moving the error signal from the output layer back through the hidden layers to the input layer. This is done to figure out how much each weight and bias in the network contributed to the overall error. Analogy In the Code In the backward method, the lines like hidden_error2 = d_output.dot(self.weights3.T) and hidden_error1 = d_hidden2.dot(self.weights2.T) are performing this error propagation. They calculate how much of the error from the subsequent layer is attributed to the activations of the current layer. Key Takeaway Propagating the error backwards is essential for training neural networks. It allows the network to identify how each parameter contributes to the error and adjust those parameters accordingly to improve its performance. This process is what enables the network to learn from the data and make more accurate predictions.  Sigmoid Derivative  The sigmoid derivative plays a crucial role in the backpropagation algorithm used to train neural networks. It tells us how much the output of the sigmoid function changes with respect to a small change in its input. This information is essential for calculating the gradients of the error with respect to the weights and biases in the network. Mathematical Definition sigmoid_derivative(x) = sigmoid(x) * (1 - sigmoid(x)) where sigmoid(x) is the output of the sigmoid function for input x. Why is it important in backpropagation? During backpropagation, we need to calculate how much the error at the output layer is affected by the activations of the neurons in the previous layers. This involves calculating the gradients of the error with respect to the activations. Since the sigmoid function is used as the activation function in this neural network, its derivative tells us how much a small change in the activation of a neuron will affect the output of that neuron. This information is then used to calculate how much that change in activation will affect the overall error. Chain Rule The sigmoid derivative is used in conjunction with the chain rule from calculus to calculate the gradients of the error with respect to the weights and biases. The chain rule allows us to break down the calculation of the gradient into smaller, manageable steps. In the Code d_output = output_error * sigmoid_derivative(output) d_hidden2 = hidden_error2 * sigmoid_derivative(self.hidden_layer2) d_hidden1 = hidden_error1 * sigmoid_derivative(self.hidden_layer1) are using the sigmoid_derivative function to calculate the gradients of the error with respect to the activations of each layer. Key Takeaways The sigmoid derivative tells us how much the output of the sigmoid function changes with respect to its input. It's crucial for calculating gradients during backpropagation in neural networks that use the sigmoid activation function. The sigmoid derivative, along with the chain rule, allows us to determine how much each weight and bias contributes to the overall error. This information is then used to update the parameters and improve the accuracy of the neural network.  The Role of the Sigmoid Derivative Connecting to the gradient descent update forumula In Summary While the sigmoid derivative is not explicitly present in the gradient descent update rule, it's an essential part of the process that calculates the gradient used in that update rule. The sigmoid derivative is used in the backpropagation algorithm to determine how much each weight and bias contributes to the overall error, and this information is then used to update the parameters and improve the accuracy of the neural network. Key Takeaway The sigmoid derivative plays a crucial behind-the-scenes role in enabling the gradient descent update rule to work effectively in neural networks that use the sigmoid activation function.  To explicitly show the sigmoid derivative in the gradient descent update rule, we need to expand the gradient term (∂/∂θ) J(θ₀, θ₁) using the chain rule. Explanation Simplified for a Single Example Key Takeaway This expanded form of the gradient descent update rule explicitly shows the role of the sigmoid derivative in calculating the gradient. It highlights how the error is propagated backward through the network, considering the influence of the activation function at each layer. This detailed representation provides a clearer understanding of how the sigmoid derivative contributes to the learning process in neural networks.  Build the Neural Net  X (Input Data) y (Target Output) The purpose of X and y is to train the neural network to learn a mapping between the input features and the target output. By feeding the network with X and y during training, you're essentially teaching it to recognize patterns and relationships in the data so that it can make accurate predictions on new, unseen data. Prediction After training, the neural network can be used to predict the output for new input data. Given a new set of features (X_new), the network will process the input through its layers and produce a prediction (ŷ) that represents the probability of belonging to class 1. Example Scenario Let's say you're building a neural network to predict whether a customer will click on an ad (1 for click, 0 for no click). X could contain features like the customer's age, gender, location, and browsing history. y would contain the corresponding labels indicating whether each customer clicked on the ad or not. By training the network on X and y, you aim to create a model that can predict the likelihood of a new customer clicking on an ad based on their features. X and y are the training data used to teach the neural network to make predictions. X provides the input features, and y provides the corresponding target outputs. The goal is to learn a mapping between the features and the labels so that the network can accurately predict the output for new, unseen data.  Train the Neural Net  Make Predictions  Given the provided X and y arrays, the goal is to train a neural network that can predict the probability of an input belonging to class 0 or class 1. Training Process During training, the neural network will learn to map the input features (X) to the corresponding target labels (y). Since this is a binary classification problem, the network will output a probability between 0 and 1 for each input sample. Prediction After training, if you feed the network a new input sample (with four features), it will predict the probability of that sample belonging to class 1. Example X_new = np.array([[0.3, 0.4, 0.5, 0.6]]) The network might output a probability like 0.8. This indicates that the network predicts an 80% chance that this new input belongs to class 1. Key Takeaway The goal is to train a neural network that can effectively learn the relationship between the input features and the binary output labels, enabling it to make accurate predictions on new, unseen data.  Summary Initialization (__init__) Forward Propagation (forward) Calculates the weighted sum of inputs and biases for each layer. Applies the sigmoid activation function to the result of each layer to introduce non-linearity. Returns the output from the output layer. Backpropagation (backward) Calculates the error between the predicted output and the target output. Calculates the gradients of the error with respect to the weights and biases using the chain rule and sigmoid derivative. Updates the weights and biases using the calculated gradients. Training Creates an instance of the NeuralNetwork class. Defines sample input data (X) and target output (y). Iterates for a specified number of epochs, performing forward and backward passes to train the network. Prediction Uses the trained network to make predictions on the input data. This code demonstrates a basic implementation of a neural network with two hidden layers using only NumPy. It showcases the fundamental concepts of forward propagation, backpropagation, and gradient descent for training a neural network. You can modify this code to experiment with different network architectures, activation functions, and datasets.  Runtime Processing CPU (Central Processing Unit) T4 GPU (Graphics Processing Unit) TPU v2-8 (Tensor Processing Unit) Key Differences When to Use Each In Summary CPUs, T4 GPUs, and TPU v2-8s are all processors designed for different purposes and with varying strengths. CPUs are general-purpose workhorses, GPUs are parallel powerhouses, and TPUs are specialized for AI. Choosing the right processor depends on the specific workload and requirements.  In PyTorch, a torch.Tensor is a multi-dimensional array that is the fundamental building block for all operations and models. You can think of it as the PyTorch equivalent of a NumPy array, but with some key advantages for deep learning. 1. GPU Support 2. Automatic Differentiation 3. Optimized Operations 4. Neural Network Building Blocks 5. Dynamic Computation Graph Creating Tensors Key Takeaways torch.Tensor is the fundamental data structure in PyTorch for numerical computation. It offers GPU support, automatic differentiation, optimized operations, and integration with neural network modules. PyTorch tensors are essential for building and training deep learning models efficiently.  criterion = nn.MSELoss()  # Mean Squared Error loss optimizer = optim.SGD(net.parameters(), lr=0.1)  # Stochastic Gradient Descent These two lines of code are essential for training your neural network in PyTorch. They define the loss function and the optimizer that will be used to update the network's parameters during training. criterion = nn.MSELoss() optimizer = optim.SGD(net.parameters(), lr=0.1) In Summary This iterative process continues for a specified number of epochs, gradually improving the network's accuracy by minimizing the loss function.   "
Basic Artificial Neural Net (ANN),Module 12 - Basic Artificial Neural Net (ANN).docx,"Here's a breakdown of each weight matrix Initialization Here's a breakdown of each bias vector Initialization In summary Think of it like this The learning rate scales these gradients, determining the step size taken in that direction. The update rule for a parameter (e.g., a weight) typically looks like this The choice of learning rate is critical for successful training Finding an appropriate learning rate often involves experimentation and tuning. Common techniques include In essence, forward propagation involves The sigmoid function is defined as where In essence, backpropagation involves Imagine a team working on a project where the final outcome has an error. To improve, they need to figure out where things went wrong The derivative of the sigmoid function is In the backward method, the lines like The sigmoid derivative indirectly relates to the gradient descent update forumula, which represents the gradient descent update rule. Here's how Let's assume θ_j represents a weight connecting a neuron in layer l-1 to a neuron in layer l. The update rule with the sigmoid derivative would look like this where If we consider a single training example and omit the summation, the update rule becomes In summary Let's say after training, you provide the network with a new input Here's a breakdown of the differences between CPUs, T4 GPUs, and TPU v2-8s Here's a breakdown of what makes torch.Tensor special You can create PyTorch tensors in various ways These two components work together during the training loop"
Basis Functions,Module 10 - Logarithms.docx,"A set of functions used to represent or approximate other functions. Examples include polynomials, splines, and wavelets."
Basis Functions,Module 10 - GLMs.docx,"Basis functions are a set of functions used to represent or approximate other functions. Examples include polynomials, splines, and wavelets."
Bayes (Binomial) - https,Module 06 - Astronomy and Statistics.docx,//en.wikipedia.org/wiki/Binomial_distribution
Bayes' Theorem,Module 03 - Probability.docx,A formula for updating beliefs based on new evidence.
Bayesian Approach,Module 10 - Logarithms.docx,An alternative to MLE that incorporates prior knowledge or beliefs about the parameters being estimated.
Bayesian Approach,Module 10 - GLMs.docx,An alternative to MLE that incorporates prior knowledge or beliefs about the parameters being estimated.
Bayesian Statistics,Module 03 - Distributions.docx,Modeling prior beliefs about probabilities or proportions.
Bayesian approach,Module 03 - Miscellaneous.docx,"You might start with a prior belief that the coin is fair (50% chance of heads). Then, you would flip the coin a few times and update your belief based on the observed outcomes. If you get a few heads in a row, your posterior probability of the coin being biased towards heads would increase."
Bayesian statistics,Module 03 - Distributions.docx,Used as a prior distribution for various parameters.
Bayesians,Module 03 - Miscellaneous.docx,View probability as a degree of belief or confidence in an event occurring. They incorporate prior knowledge and update their beliefs based on new evidence using Bayes' theorem. Explicitly incorporate prior information into their analysis. They use Bayes' theorem to combine prior beliefs with observed data to update their understanding of an event's probability. Use posterior distributions and credible intervals to draw inferences about population parameters. They update their prior beliefs based on the observed data to obtain a posterior distribution that reflects their updated knowledge.
Bias,Module 12 - Gradient Descent and Backpropagation.docx,"The bias shifts the activation function, allowing the neuron to activate even with zero input."
Bias,Module 11 - Bias Variance Tradeoff.docx,"In the context of machine learning, bias refers to the error introduced by approximating a real-world problem, which can be complex, with a simplified model. High bias can lead to underfitting, where the model oversimplifies the relationship in the data, missing the underlying patterns."
Bias (b),Module 12 - Gradient Descent and Backpropagation.docx,This is an additional parameter that acts as an offset or threshold. It allows the neuron to activate even when the weighted sum of inputs is zero.
Bias Correction,Module 12 - Gradient Descent and Backpropagation.docx,Adam includes a bias correction mechanism to address the fact that the initial estimates of the first and second moments are biased towards zero.
Bias Variance Tradeoff,Module 11 - Bias Variance Tradeoff.docx,"The document primarily explores the Bias-Variance Tradeoff principle in machine learning, elucidating how striking the right balance between bias and variance is crucial for building effective predictive models. The document emphasizes the importance of understanding and managing the bias-variance tradeoff to develop effective machine learning models. It highlights that while simple models might suffer from high bias, overly complex models can become too sensitive to the training data, leading to high variance and overfitting. The optimal model complexity lies at the point where both bias and variance are adequately controlled, ensuring that the model captures the underlying patterns in the data without overfitting to the noise or specificities of the training set. "
Bias Variance Tradeoff,Module 11 - Bias Variance Tradeoff.docx,Here's a breakdown of the key terms and concepts involved Deep Dive
Bias-Variance Tradeoff,Module 11 - Confusion Matrix Binary.docx,The inherent tradeoff in machine learning between bias (error due to oversimplification) and variance (error due to overcomplexity). The goal is to find the right balance for optimal model generalization.
Bias-Variance Tradeoff,Module 11 - Bias Variance Tradeoff.docx,The tradeoff arises from the fact that decreasing one (bias or variance) often leads to an increase in the other. The goal is to find the sweet spot that minimizes the total error.
Biases,Module 03 - Probability.docx,"Common errors in probability reasoning, such as availability bias and the conjunction fallacy."
